ProductID,SKU,ProductName,Category,SubCategory,Brand,UnitPrice,CostPrice,Weight,UnitOfMeasure,SupplierID,LaunchDate,IsActive
81,SKU-ELE-000081,Tata Smartphone,Electronics,Mobile,Tata,52082.71,38233.95,19.81,Pack,116,2018-12-08,True
82,SKU-GRO-000082,Nestle Coffee,Groceries,Beverages,Nestle,62218.3,49502.06,15.6,Piece,313,2024-03-03,False
83,SKU-HOM-000083,Adidas Ceiling Fan,Home Appliances,Cooling,Adidas,39810.27,33038.39,4.51,Pack,39,2020-06-26,True
84,SKU-GRO-000084,Godrej Namkeen,Groceries,Snacks,Godrej,17970.87,14598.4,17.73,Piece,360,2025-02-13,True
85,SKU-HOM-000085,Prestige Vacuum Cleaner,Home Appliances,Cleaning,Prestige,7105.57,5783.08,3.89,Piece,137,2021-01-03,True
86,SKU-ELE-000086,Amul Wireless Charger,Electronics,Mobile,Amul,50542.47,37460.44,7.36,Liter,64,2019-03-23,True
87,SKU-GRO-000087,Tata Fruit Juice,Groceries,Beverages,Tata,29118.17,24715.07,1.19,Box,222,2025-10-27,True
88,SKU-FAS-000088,Nike T-Shirt,Fashion,Men,Nike,69384.7,48097.46,14.46,Liter,487,2020-07-11,True
89,SKU-FUR-000089,Godrej Sofa,Furniture,Living Room,Godrej,33888.07,25972.24,7.1,Pack,300,2025-12-01,True
90,SKU-ELE-000090,Prestige Ultrabook,Electronics,Laptop,Prestige,23120.2,16698.75,21.47,Pack,169,2019-05-28,True
91,SKU-FAS-000091,Realme Running Shoes,Fashion,Footwear,Realme,36038.48,27527.33,8.0,Pack,166,2021-10-12,True
92,SKU-FUR-000092,Tata TV Unit,Furniture,Living Room,Tata,27033.31,23125.72,13.06,Pack,319,2020-11-28,True
93,SKU-ELE-000093,Tata Wireless Charger,Electronics,Mobile,Tata,8247.98,6594.11,22.04,Box,249,2022-05-27,True
94,SKU-HOM-000094,Puma Ceiling Fan,Home Appliances,Cooling,Puma,37026.94,27564.41,2.51,Pack,431,2023-12-15,True
95,SKU-ELE-000095,Godrej Smart Watch,Electronics,Accessories,Godrej,58395.36,46636.02,17.69,Pack,213,2025-08-22,True
96,SKU-HOM-000096,Bajaj Vacuum Cleaner,Home Appliances,Cleaning,Bajaj,13014.46,9570.99,18.71,Liter,70,2021-08-25,True
97,SKU-GRO-000097,Adidas Fruit Juice,Groceries,Beverages,Adidas,51254.27,41036.45,7.6,Pack,301,2019-12-06,True
98,SKU-HOM-000098,Philips Steam Mop,Home Appliances,Cleaning,Philips,23600.76,16655.38,9.55,Kg,478,2021-09-11,True
99,SKU-HOM-000099,Nike Air Cooler,Home Appliances,Cooling,Nike,55383.57,42807.85,8.09,Pack,243,2021-07-26,True
100,SKU-GRO-000100,Dell Namkeen,Groceries,Snacks,Dell,28831.64,24791.67,12.66,Piece,303,2020-04-29,True
101,SKU-GRO-000101,Samsung Cooking Oil,Groceries,Food,Samsung,46741.74,36136.07,16.44,Liter,80,2024-03-31,True
102,SKU-FAS-000102,Bajaj Sandals,Fashion,Footwear,Bajaj,47077.36,32509.34,21.34,Liter,440,2020-10-25,True
103,SKU-GRO-000103,Amul Biscuits,Groceries,Snacks,Amul,4753.78,3467.62,23.04,Pack,117,2024-07-07,True
104,SKU-ELE-000104,Havells Bluetooth Speaker,Electronics,Accessories,Havells,10490.14,8359.92,0.92,Liter,167,2026-07-07,True
105,SKU-FAS-000105,Dell Top,Fashion,Women,Dell,15851.14,12247.66,17.11,Piece,93,2024-05-11,True
106,SKU-FUR-000106,Boat Mattress,Furniture,Bedroom,Boat,17750.63,12079.45,3.75,Pack,237,2024-01-22,True
107,SKU-FAS-000107,Havells Sneakers,Fashion,Footwear,Havells,62513.11,45065.41,4.12,Box,227,2019-02-25,True
108,SKU-FAS-000108,Noise Running Shoes,Fashion,Footwear,Noise,18134.52,12542.41,5.14,Piece,197,2023-09-23,True
109,SKU-HOM-000109,Nestle Steam Mop,Home Appliances,Cleaning,Nestle,20682.48,14828.83,0.74,Liter,425,2023-12-12,True
110,SKU-ELE-000110,Amul Bluetooth Speaker,Electronics,Accessories,Amul,53726.41,37271.35,22.59,Box,398,2020-01-01,True
111,SKU-FAS-000111,Amul Jeans,Fashion,Men,Amul,17777.98,12568.81,19.23,Piece,349,2023-02-02,True
112,SKU-ELE-000112,Apple Chromebook,Electronics,Laptop,Apple,40783.04,28999.71,2.44,Pack,152,2024-09-30,True
113,SKU-HOM-000113,Tata Microwave,Home Appliances,Kitchen,Tata,56015.93,43829.21,12.64,Liter,140,2020-08-17,True
114,SKU-GRO-000114,Woodland Fruit Juice,Groceries,Beverages,Woodland,52847.57,40221.42,2.07,Pack,387,2019-12-08,False
115,SKU-FUR-000115,Bajaj Bed,Furniture,Bedroom,Bajaj,996.98,745.24,11.48,Liter,345,2022-06-24,True
116,SKU-FUR-000116,Philips Mattress,Furniture,Bedroom,Philips,6728.16,5461.89,0.82,Liter,453,2021-10-09,True
117,SKU-FUR-000117,Sony TV Unit,Furniture,Living Room,Sony,41722.11,31788.43,17.59,Kg,333,2020-11-03,True
118,SKU-ELE-000118,Godrej Wireless Charger,Electronics,Mobile,Godrej,7208.52,5850.22,13.53,Box,199,2026-06-02,True
119,SKU-GRO-000119,Mi Namkeen,Groceries,Snacks,Mi,10061.73,7768.42,2.66,Liter,251,2023-12-28,True
120,SKU-ELE-000120,Lenovo Earbuds,Electronics,Accessories,Lenovo,32911.35,22196.99,21.42,Liter,51,2024-05-26,False
121,SKU-FUR-000121,Apple Study Table,Furniture,Office,Apple,24252.12,19937.08,3.23,Piece,435,2023-04-14,True
122,SKU-HOM-000122,Apple Ceiling Fan,Home Appliances,Cooling,Apple,48607.53,39350.39,3.32,Box,290,2020-05-31,True
123,SKU-HOM-000123,Nike Ceiling Fan,Home Appliances,Cooling,Nike,19780.92,16461.55,22.53,Kg,2,2024-05-15,True
124,SKU-HOM-000124,HP Air Cooler,Home Appliances,Cooling,HP,8052.23,5540.82,3.47,Kg,184,2021-04-21,True
125,SKU-FUR-000125,HP Bed,Furniture,Bedroom,HP,15891.16,13305.11,10.64,Pack,59,2025-09-18,True
126,SKU-GRO-000126,Nestle Fruit Juice,Groceries,Beverages,Nestle,7291.24,5497.25,23.65,Box,23,2025-01-30,True
127,SKU-FAS-000127,Apple Kurti,Fashion,Women,Apple,72225.61,49929.41,10.77,Pack,56,2025-02-22,True
128,SKU-ELE-000128,Amul Wireless Charger,Electronics,Mobile,Amul,8907.61,7459.27,15.68,Liter,300,2019-01-08,True
129,SKU-GRO-000129,Puma Namkeen,Groceries,Snacks,Puma,30932.94,22713.09,2.66,Box,360,2020-06-29,True
130,SKU-HOM-000130,Nike Steam Mop,Home Appliances,Cleaning,Nike,29828.43,20719.99,10.09,Pack,374,2025-07-15,True
131,SKU-FAS-000131,Philips Running Shoes,Fashion,Footwear,Philips,66296.38,47681.95,11.96,Piece,47,2018-10-26,True
132,SKU-GRO-000132,Dell Sugar,Groceries,Food,Dell,37731.49,27840.72,14.13,Pack,169,2025-05-24,True
133,SKU-FAS-000133,Mi Running Shoes,Fashion,Footwear,Mi,3276.42,2619.73,7.95,Kg,54,2021-03-25,True
134,SKU-HOM-000134,Nike Air Cooler,Home Appliances,Cooling,Nike,53919.27,42371.38,14.0,Box,59,2021-12-16,True
135,SKU-HOM-000135,Amul Vacuum Cleaner,Home Appliances,Cleaning,Amul,66913.64,46457.76,6.83,Liter,93,2020-10-27,True
136,SKU-FAS-000136,HP Kurti,Fashion,Women,HP,58646.75,43499.64,10.14,Piece,73,2019-02-09,True
137,SKU-ELE-000137,Lenovo Mouse,Electronics,Accessories,Lenovo,24658.53,18840.91,4.1,Box,160,2020-05-04,True
138,SKU-FUR-000138,Dell Sofa,Furniture,Living Room,Dell,10810.56,7912.62,16.91,Pack,140,2026-04-25,True
139,SKU-GRO-000139,Prestige Chips,Groceries,Snacks,Prestige,19367.43,13694.68,3.02,Box,221,2023-05-16,True
140,SKU-GRO-000140,Puma Namkeen,Groceries,Snacks,Puma,2987.15,2318.6,15.06,Kg,4,2025-12-31,True
141,SKU-HOM-000141,Woodland Steam Mop,Home Appliances,Cleaning,Woodland,8001.74,6043.22,10.88,Kg,67,2024-08-26,True
142,SKU-FUR-000142,Sony Study Table,Furniture,Office,Sony,28030.35,19883.71,11.02,Liter,236,2021-03-22,True
143,SKU-FUR-000143,Bajaj Mattress,Furniture,Bedroom,Bajaj,46001.2,35489.47,3.06,Kg,11,2020-05-09,False
144,SKU-FUR-000144,Philips Mattress,Furniture,Bedroom,Philips,6435.81,4452.09,6.23,Piece,302,2024-02-14,True
145,SKU-GRO-000145,Woodland Fruit Juice,Groceries,Beverages,Woodland,15816.8,11117.52,2.09,Box,325,2022-10-17,True
146,SKU-HOM-000146,Mi Steam Mop,Home Appliances,Cleaning,Mi,65924.1,47913.26,3.86,Kg,53,2021-11-29,True
147,SKU-HOM-000147,Realme Ceiling Fan,Home Appliances,Cooling,Realme,44666.51,37969.66,23.79,Box,322,2026-01-26,True
148,SKU-FUR-000148,Nestle Mattress,Furniture,Bedroom,Nestle,48099.53,32167.44,8.22,Kg,498,2026-04-29,True
149,SKU-GRO-000149,Havells Cooking Oil,Groceries,Food,Havells,45129.82,31587.69,14.87,Liter,181,2024-01-06,True
150,SKU-GRO-000150,Apple Tea,Groceries,Beverages,Apple,23094.36,18468.44,16.19,Box,438,2022-06-13,True
151,SKU-FUR-000151,Nestle Wardrobe,Furniture,Bedroom,Nestle,39586.05,27738.1,22.42,Box,231,2019-10-05,True
152,SKU-HOM-000152,Parle Steam Mop,Home Appliances,Cleaning,Parle,8887.61,7585.51,2.77,Piece,461,2020-10-18,True
153,SKU-FUR-000153,Apple Office Chair,Furniture,Office,Apple,16192.19,12424.8,11.1,Liter,268,2019-09-25,True
154,SKU-FAS-000154,Prestige Top,Fashion,Women,Prestige,53748.57,38734.52,1.5,Piece,324,2020-08-23,True
155,SKU-FAS-000155,Puma Jacket,Fashion,Men,Puma,18299.26,12637.19,24.12,Liter,309,2024-11-18,True
156,SKU-ELE-000156,Philips Smart Watch,Electronics,Accessories,Philips,21447.67,15546.08,16.62,Piece,67,2023-04-28,True
157,SKU-FAS-000157,IKEA Running Shoes,Fashion,Footwear,IKEA,56801.43,39593.51,16.82,Box,425,2023-02-17,True
158,SKU-ELE-000158,Parle Keyboard,Electronics,Accessories,Parle,23141.82,18123.31,4.67,Pack,110,2020-10-12,True
159,SKU-HOM-000159,Dell Microwave,Home Appliances,Kitchen,Dell,5644.01,3904.4,2.71,Box,395,2024-11-24,True
160,SKU-ELE-000160,Realme Earbuds,Electronics,Accessories,Realme,42022.31,30920.67,4.03,Box,93,2023-07-09,True
161,SKU-HOM-000161,Apple Air Cooler,Home Appliances,Cooling,Apple,28528.29,20572.39,6.09,Pack,228,2022-03-11,True
162,SKU-HOM-000162,Puma Ceiling Fan,Home Appliances,Cooling,Puma,68778.5,48281.55,22.62,Box,100,2026-03-08,True
163,SKU-GRO-000163,Realme Coffee,Groceries,Beverages,Realme,25523.81,19124.53,24.16,Box,419,2023-07-05,True
164,SKU-HOM-000164,IKEA Vacuum Cleaner,Home Appliances,Cleaning,IKEA,30789.22,24055.5,23.37,Piece,365,2021-12-10,True
165,SKU-FAS-000165,Adidas Jeans,Fashion,Men,Adidas,29909.01,22493.5,20.81,Kg,47,2021-08-16,True
166,SKU-GRO-000166,Prestige Tea,Groceries,Beverages,Prestige,3592.89,2710.18,6.05,Piece,42,2020-05-30,True
167,SKU-FAS-000167,Dell Shirt,Fashion,Men,Dell,8656.7,6923.1,20.78,Pack,357,2019-09-21,True
168,SKU-GRO-000168,Sony Biscuits,Groceries,Snacks,Sony,1224.55,999.24,3.91,Box,482,2022-11-18,True
169,SKU-GRO-000169,Nike Sugar,Groceries,Food,Nike,17608.61,15092.5,10.61,Piece,407,2022-09-29,True
170,SKU-ELE-000170,IKEA Gaming Laptop,Electronics,Laptop,IKEA,31846.08,25793.02,3.76,Liter,220,2019-04-27,True
171,SKU-HOM-000171,HP Air Cooler,Home Appliances,Cooling,HP,39216.55,33235.35,24.37,Box,35,2024-12-22,False
172,SKU-FUR-000172,Bajaj Office Chair,Furniture,Office,Bajaj,50889.29,43672.91,9.79,Piece,192,2018-12-12,True
173,SKU-FAS-000173,Nike Shirt,Fashion,Men,Nike,50220.71,36660.4,19.33,Kg,377,2025-11-14,True
174,SKU-ELE-000174,IKEA Ultrabook,Electronics,Laptop,IKEA,12513.64,8795.7,11.72,Kg,357,2019-06-24,True
175,SKU-HOM-000175,Apple Rice Cooker,Home Appliances,Kitchen,Apple,17139.08,14707.46,5.15,Liter,22,2019-11-05,True
176,SKU-FUR-000176,Godrej Mattress,Furniture,Bedroom,Godrej,17957.65,12703.02,4.94,Piece,183,2023-11-19,True
177,SKU-FAS-000177,Philips Kurti,Fashion,Women,Philips,28219.85,21875.72,11.11,Kg,490,2019-11-28,True
178,SKU-GRO-000178,Philips Chips,Groceries,Snacks,Philips,61552.41,46219.31,20.07,Pack,373,2025-04-13,True
179,SKU-FUR-000179,Puma TV Unit,Furniture,Living Room,Puma,18959.72,16094.51,16.59,Pack,157,2024-05-02,True
180,SKU-HOM-000180,Philips Air Cooler,Home Appliances,Cooling,Philips,31435.94,22384.13,22.81,Liter,315,2022-02-19,False
181,SKU-ELE-000181,Philips Power Bank,Electronics,Mobile,Philips,36270.18,25678.65,4.17,Box,16,2023-08-14,True
182,SKU-GRO-000182,Sony Wheat Flour,Groceries,Food,Sony,16286.76,11837.97,9.18,Box,487,2019-02-01,True
183,SKU-HOM-000183,Philips Air Cooler,Home Appliances,Cooling,Philips,26403.13,18632.07,14.43,Liter,272,2021-10-26,True
184,SKU-FAS-000184,Samsung T-Shirt,Fashion,Men,Samsung,48743.66,36796.96,9.8,Liter,288,2021-10-16,True
185,SKU-GRO-000185,Noise Sugar,Groceries,Food,Noise,60581.11,45828.12,3.24,Kg,437,2023-08-13,True
186,SKU-GRO-000186,Boat Sugar,Groceries,Food,Boat,20410.04,17403.89,13.65,Kg,457,2022-07-12,True
187,SKU-HOM-000187,LG Vacuum Cleaner,Home Appliances,Cleaning,LG,70301.25,49257.37,6.07,Box,253,2023-01-17,True
188,SKU-FUR-000188,Tata Wardrobe,Furniture,Bedroom,Tata,9533.47,6532.07,1.83,Pack,204,2020-09-07,False
189,SKU-FUR-000189,Nestle Wardrobe,Furniture,Bedroom,Nestle,5564.68,3733.85,16.13,Box,231,2023-04-02,True
190,SKU-FAS-000190,Realme Jeans,Fashion,Men,Realme,62877.83,48314.92,22.79,Box,29,2025-11-13,True
191,SKU-HOM-000191,HP Vacuum Cleaner,Home Appliances,Cleaning,HP,22605.63,16166.9,8.78,Liter,482,2018-08-23,True
192,SKU-ELE-000192,IKEA Business Laptop,Electronics,Laptop,IKEA,59586.19,47819.76,15.7,Box,315,2024-05-01,True
193,SKU-HOM-000193,HP Ceiling Fan,Home Appliances,Cooling,HP,46208.4,32953.71,15.21,Piece,432,2024-09-04,True
194,SKU-ELE-000194,IKEA Smartphone,Electronics,Mobile,IKEA,47918.99,38562.57,5.43,Piece,293,2019-07-09,True
195,SKU-GRO-000195,Puma Namkeen,Groceries,Snacks,Puma,40325.69,32113.27,6.27,Liter,414,2024-05-06,True
196,SKU-GRO-000196,HP Rice,Groceries,Food,HP,29039.67,22008.29,5.26,Liter,311,2026-01-26,True
197,SKU-FAS-000197,Realme Dress,Fashion,Women,Realme,24990.44,18558.48,8.11,Pack,239,2023-02-11,True
198,SKU-HOM-000198,Apple Mixer Grinder,Home Appliances,Kitchen,Apple,18683.76,14546.09,15.46,Kg,128,2024-12-06,False
199,SKU-FAS-000199,Woodland Sandals,Fashion,Footwear,Woodland,11493.65,9532.21,24.9,Liter,240,2020-10-24,True
200,SKU-GRO-000200,Bajaj Rice,Groceries,Food,Bajaj,37650.47,25296.95,5.54,Liter,181,2025-01-30,True
201,SKU-GRO-000201,Boat Namkeen,Groceries,Snacks,Boat,31513.95,23555.81,21.21,Liter,221,2023-12-31,True
202,SKU-FAS-000202,Apple Handbag,Fashion,Women,Apple,27071.67,20059.05,5.03,Pack,284,2021-06-09,True
203,SKU-FUR-000203,Adidas Mattress,Furniture,Bedroom,Adidas,56468.8,41274.3,15.35,Pack,66,2019-06-30,False
204,SKU-FAS-000204,Realme Handbag,Fashion,Women,Realme,9874.62,7256.15,10.15,Kg,21,2021-01-15,True
205,SKU-FAS-000205,Dell Top,Fashion,Women,Dell,40355.46,30332.71,8.33,Pack,314,2022-03-30,True
206,SKU-FUR-000206,Nestle Study Table,Furniture,Office,Nestle,24265.0,16851.85,13.4,Pack,363,2019-11-22,True
207,SKU-ELE-000207,Boat Ultrabook,Electronics,Laptop,Boat,7158.91,5524.75,7.83,Piece,461,2022-05-28,True
208,SKU-FUR-000208,IKEA Wardrobe,Furniture,Bedroom,IKEA,55666.46,39156.05,14.53,Pack,370,2018-07-29,True
209,SKU-HOM-000209,Dell Air Cooler,Home Appliances,Cooling,Dell,50739.09,41091.98,14.4,Piece,359,2024-09-08,True
